"natural disaster","global warming","climate change","destruction of the environment","green technologies","rest","danger to humanity","political measures against climate change","scientific explanation","environmental friendly behavior","costs","social consequences","environmental pollution","politics","conspirative narration","protection of the environment","rising sea level","environmental consciousness","man made","natural process","activism","industry","environmental damaging behavior","positive consequences","science","economy","healthy environment","scarcity","health and food","negative emotions","political conspiracy","denial","future","global dimension","negative consequences","positive values","impact on agriculture"
0,0,5,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0
0,0,6,0,1,3,0,2,0,1,2,2,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,5,1,0,1,0,0,1,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,2,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,6,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,1,1,0,3,4,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,3,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,3,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
