"";"PROLIFIC_PID";"country.y";"classes_conspiracy";"politicalParty";"socio_sex";"mean_affImg";"mean_valence_macro";"num_nodes_macro";"R1";"R2";"R3";"R4";"R5";"affImgAffect-R1";"affImgAffect-R2";"affImgAffect-R3";"affImgAffect-R4";"affImgAffect-R5";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8"
"119";"5d8934dc4c680f00181616f8";"USA";3;"Democrat";"Female";1;-1,46153846153846;13;"scary";NA;NA;NA;NA;1;NA;NA;NA;NA;"Less cold deaths";"Death of wildlife";"death of plants";"warming of earth";"glacier melting";"disease in permafrost";"deaths from disease";"flooding"
"120";"614f58258eaf7063aa888d90";"USA";3;"Democrat";"Female";1;-3;13;"global warming";"stronger storms";"drought";"wildfires";"mass extinctions";1;1;1;1;1;"dangerous weather patterns";"decreased biodiversity ";"global warming";"increase in allergies";"deforestation";"drought";"stronger storms";"pandemics"
"127";"5c37aa8b832a8400010983b3";"USA";1;"Democrat";"Male";1,8;-1,41176470588235;17;"sea level";"desert";"migrants";"flooding";"impacts";1;2;4;1;1;"Climate Refugees";"Rising sea levels";"Melting polar ice";"Stronger storms";"increased drought";"expanison of deserts";"Threatened food suply";"Militarization of border"
"138";"5fb08ec5ddc19949a58f5a4f";"USA";1;"Democrat";"Female";1;-2,69230769230769;13;"disaster";"end";"extinction";"anxiety";"death";1;1;1;1;1;"Increased Extreme Weather";"Loss of Life";"Forced Migration";"Crop Failure";"Economic Upheaval";"Societal Collapse";"Widespread Famine";"Lower Life Expectancy"
"146";"58cbd0a55d42920001414dd3";"USA";1;"Democrat";"Male";3,8;-1,5;14;"Science";"Urgent";"Technical";"Death";"Response";6;2;4;1;6;"Warmer Weather";"Rising sea levels";"Flooding";"Negative Economic Effects";"Expensive home insurance";"Reduced habitable areas";"New green technologies";"Economic growth"
"163";"5deb638bff7f7126d6fb5142";"USA";1;"Republican";"Male";2;-1,375;16;"warming";"extreme weather";"ice melting";"oceans rising";"oil";2;1;2;2;3;"heat";"drought";"extreme weather";"rising sea levels";"milder winter";"more rain";"more diseases";"melting glaciers"
"164";"64402f7ad3d019dc99b9f3f0";"USA";3;"Republican";"Male";4;-0,461538461538462;13;"global warming";"Carbon";"oxygen";"gas";"rain";4;4;4;4;4;"Pollution";"Severity weight";"Bad Science practices";"Adaptation";"Fossil Fuels";"Benefits";"Economic Growth";"Hot temperatures"
"165";"65562093cb3d4b04b4d3e8da";"USA";3;"Republican";"Male";2,4;-1,08333333333333;12;"Pollution";"Weather";"Cold";"Hot";"Responsibility";2;2;3;1;4;"Advertisements";"Donation Requests";"Verbal Arguments";"Social Media";"Bad Weather";"Less food";"Rising Food Costs";"Public Stance"
"168";"5c7a94dc8fbcb100146b6dc7";"USA";3;"Republican";"Female";1,33333333333333;-1,46153846153846;13;"Landslide";"North Pole";"Earth Quake";NA;NA;1;2;1;NA;NA;"Exagerated";"Cannot be prevented";"Ushering Jesus's return";"Abused by politicians";"Changing the atmosphere";"Natural";"We cannot control";"Fulfills God's Word"
"169";"6406300d0af7758269c8dc0b";"USA";3;"Republican";"Male";2;-0,266666666666667;15;"icebergs";"storms";"deserts";"cold";"hot";2;2;2;2;2;"pollution";"melted ice caps";"sea levels rising";"worse air quality";"naturally occurring cycle";"humans can fix";"pass dramatic legislation";"won't last long"
"170";"603d6ae665fbaacb5621ede2";"USA";3;"Republican";"Male";1,8;-2,25;12;"weather";"heat";"pollution";"environment ";"gas";2;2;1;1;3;"heatwaves";"pollution in air";"droughts";"warmer ocean water";"shorter winters";"extreme weather";"loss of biodiversity";"ocean acid"
"178";"63978402e524eebeace93868";"USA";3;"Republican";"Female";4,25;-1,46153846153846;13;"warm";"hoax";"ozone";"water";NA;3;2;6;6;NA;"warmer weather";"rising water levels";"hoax";"exaggeration";"millionaires flying airplanes";"money being made";"some problems";"worse weather"
"182";"5ec1c41a1f98090e8c119332";"USA";3;"Republican";"Male";4,8;-0,538461538461538;13;"Weather";"Clouds";"Tornados";"Storm";"Thunder";6;7;2;4;5;"Weather Changes";"Rain";"Sunny";"Storms";"Disasters";"Snow";"Tornadoes";"Hurricanes"
"183";"647648baa82fb44bb109f367";"USA";1;"Republican";"Female";1;-0,461538461538462;13;"drought";"heat";"melting glaciers";NA;NA;1;1;1;NA;NA;"Gas Emissions";"Residential Solar Panels";"Recycle Trash";"Greenhouse Gas";"Ban Plastic Products";"Commercial  Ocean Waste";"Drought";"Rainforest Decimation"
"192";"654580dcf53f11ae40ade9fd";"USA";3;"Republican";"Female";1,33333333333333;-1,15384615384615;13;"warm winters";"melting icebergs";"depleting ozone ";NA;NA;2;1;1;NA;NA;"Warmer Temperatures";"Melting Icebergs";"Warming ocean temps";"  Shorter Winters";"Longer Summers";"Dying Pollinators";"Starving Polar Bears";"Decline in Food"
"200";"63ea4301f63c1d26f0ff83e9";"USA";3;"Republican";"Female";1,6;-2,61538461538462;13;"fake";"fear mongering ";"warm";"political";"hype";1;1;4;1;1;"bad air quality";"excessive heat";"less snow";"hurricanes";"smog";"asthma symptoms increase";"melting ice";"dangerous for elderly"
"210";"64d50c4b3a44318d98f4f5b2";"USA";3;"Republican";"Female";3,2;-0,166666666666667;12;"glacier";"melting";"hot";"heatwave";"natural";4;2;3;1;6;"warmer weather";"melting glaciers";"loss on wildlife";"rising sea level";"widespread disease";"solar power";"wind power";"battery power"
"218";"631a68ee10ec68377cb03457";"USA";3;"Republican";"Male";3;-1,15384615384615;13;"Expensive";"Unknown";NA;NA;NA;2;4;NA;NA;NA;"loss of life";"more immigration";"less food";"extinction of animals";"extinction of humans";"extreme weather";"change of consumption";"population decline"
"225";"5589c7cefdf99b18bd86cf31";"USA";3;"Republican";"Male";1;-2,76923076923077;13;"scam";"hoax";"tax";"fraud";"fake";1;1;1;1;1;"Hoax";"Taxes";"Higher Prices";"Depopulation Agenda";"War";"Corruption";"Vaccines";"Anti-White"
"233";"651f8f555a5fde411587c859";"USA";1;"Republican";"Male";1;-1,30769230769231;13;"increase in temperature";"decrease in biodiversity";"human fault";NA;NA;1;1;1;NA;NA;"mega death";"decimation of mankind";"doesn't affect me";"ecological change";"great grandchildren suffering ";"drives lithium mining";"heavy metals waste";"drives carbon storage"
"237";"65396e0fea695094030f508b";"USA";3;"Republican";"Female";4;-1;13;"Interesting";NA;NA;NA;NA;4;NA;NA;NA;NA;"Hoax";"Danger";"Health";"Future";"Factors";"Industries";"Pollution";"Earth"
"238";"606604f1ca47696cf97529c0";"USA";3;"Republican";"Male";1,6;-1,61538461538462;13;"weather";"science";"taxes";"politics";"wildlife";2;2;1;1;2;"government spending";"Limited freedoms";"Support habitat";"More species";"Better Air";"higher taxes";"Ban gas cars";"Weakened Economy"
"240";"5b0319e68d753d0001cc75c7";"USA";1;"Republican";"Female";2,4;-0,235294117647059;17;"Hurricanes";"Wildfires";"Heat";"Rain";"Drought";2;1;3;5;1;"Recycling";"Industrial recycling";"Household recycling";"Electric vehicles";"Weather changes";"Carbon Cleaning";"Industrialists";"Scientists"
"242";"5bdfb648484288000130dad0";"USA";1;"Republican";"Male";1;-2,07692307692308;13;"democrats";"environmentalist";"global warming";NA;NA;1;1;1;NA;NA;"Media";"Altruism";"Government regulation";"Economics";"National Parks";"Living Conditions";"Health";"Government power"
"243";"59296fb2e8a7ff000163f033";"USA";1;"Republican";"Male";3;-0,4;15;"danger";"happening";"hostile";"now";"threat";3;3;3;3;3;"Caused by humans";"Caused by nature";"caused by business";"caused by greed";"natural temperature fluxuations";"Methane release";"caused by cars";"caused by factories"
"247";"5d8a64630ffb9c001746ca2c";"USA";3;"Republican";"Male";4,6;-1,30769230769231;13;"Fraud";"Exaggerate";"Science";"truth";"Facts";2;3;6;6;6;"Global Warming";"Storms";"Melting ice Arctic";"CO2 Levels";"Water levels";"Records";"Droughts";"Loss of Diversity"
"248";"62dc177e02f82aabb20aebc2";"USA";1;"Republican";"Female";2;-1,75;12;"clouds";"boondoggle";"flooding";"glacier";"polar bear";4;1;1;2;2;"Human-created";"Naturally occuring";"Mitigation efforts";"Extremely expensive";"Marginally effective";"Severe weather";"Rising sea levels";"Flooding"
"249";"63dd3dd2593c92be97d8dbde";"USA";1;"Republican";"Male";1,4;-0,769230769230769;13;"Unimportant";"Expensive";"China";"Outrage";"Fake";3;1;1;1;1;"Environment";"Wildfires";"Loss of Habitat";"Energy sources";"Fossil Fuels";"Nuclear power";"Wind power";"Solar power"
"255";"638468d6652b6288319b9c4f";"USA";3;"Republican";"Male";4,8;0,5;12;"Unknown";"Natural";"Variables";"Scientists";"Politicians";6;6;5;5;2;"Postive Changes";"Negative Results";"Temperature change";"Water Temperature";"Government intervention";"Policies";"Regulations";"Natural chamnges"
"257";"5bc9206a66d04800015cf314";"USA";1;"Republican";"Male";1;-1,16666666666667;12;"fire";"dirt";NA;NA;NA;1;1;NA;NA;NA;"Renewable Energy";"Rising sea levels";"Worse storms";"Worse health";"Flood";"Early warning systems";"Electric Vehicles";"Hot Summers"
"268";"5c95493ddd325800166f838a";"USA";3;"Republican";"Female";3,4;-1;13;"weather";"heat";"storm";"melting";"ice";4;5;1;4;3;"Innovation";"Natural disasters";"Discoveries";"Change";"Human suffering";"Future";"Advancment";"Expensive"
"276";"60859f820e5009a67adb3921";"USA";1;"Republican";"Female";2,6;0,153846153846154;13;"science";"pollution";"ozone layer";"production";"liberals";4;1;4;2;2;"harmful";"man made";"danger to future";"careless";"think of solutions";"care for earth";"more research";"be more aware"
"296";"62e2deadd18974300540f870";"USA";3;"Republican";"Male";3;-0,0769230769230769;13;"hoax";"fake";"nonsense";"funny";"lame";4;2;2;5;2;"Fake";"Real";"Control";"weather";"Statistics";"Scientists";"Wildlife";"Overcrowding and Waste"
"297";"6148f3d1074988c7852c1774";"USA";1;"Republican";"Female";3,2;-0,384615384615385;13;"weather";"bad";"green";"earth";"heat";3;1;6;4;2;"natural disasters";"recycling";"reusing";"migration";"severe temperatures";"new jobs";"political tension";"news stories"
"309";"6550dd36abf6cccaa5bace83";"Germany";3;NA;"Male";2,2;-0,4;15;"Polareis";"Hochwasser";"Polarbär";"Schnee#";"Eis";3;2;3;2;1;"global warming";"greenhouse gas";"temperature rise";"natural disaster";"melting polar ice";"sea level rise";"containment";"reduction of greenhouse gases"
"310";"6526b4db08c36959a00e69c4";"Germany";3;NA;"Male";2,5;0,285714285714286;14;"Klima";"Wandel";"Luftverschmutzung";"Abgas";NA;4;4;1;1;NA;"electric car";"trees";"old vehicles";"trainings";"urbanization";"excessive fuel consumption";"inferior fuel";"population planning"
"311";"6516d9bb4dd1c665709ed88a";"Germany";1;NA;"Female";1;-1,38888888888889;18;"Krise";"Unglaube";"Armut";"Naturkatastrophen";"Klimaflüchtlinge";1;1;1;1;1;"social aspects";"ecological aspects";"acidification of the oceans";"loss of biodiversity";"resource scarcity";"climate refugees";"innovation out of necessity";"sustainability"
"338";"6517fb8c213462dc2254c0b1";"Germany";1;NA;"Female";1;-1,53846153846154;13;"Gefahr";"Umwelt";"Katastrophe";"Macht";"Artensterben";1;1;1;1;1;"activism";"extremism";"feelings";"dangers";"tidal waves";"forest fire";"species extinction";"weather phenomena"
"342";"654b4a0e936bc8d3c57bfbf0";"Germany";3;NA;"Male";4,75;0,230769230769231;13;"natürlich";"menschengemacht";"Sonne";"Fake";NA;6;2;6;5;NA;"natural";"man-made";"warmer";"colder";"sun";"sunspots";"co2";"drought"
"343";"65391c7ecf65866247606910";"Germany";1;NA;"Male";2,25;-0,25;16;"Gefährlich";"Selbstverschuldet";"CO2";"Umweltverschmutzung";NA;1;2;4;2;NA;"man-made";"indispensable/unstoppable";"future";"uncertainty";"global";"cohesion";"hopelessness";"course of things"
"344";"5d43c606773d8b00016eaa8a";"Germany";1;NA;"Female";1,6;-1,2;15;"Katastrophen";"Industrie";"Überflutungen";"Waldbrände";"Hungersnöte";1;4;1;1;1;"people become more environmentally conscious";"lower consumption";"damage to the economy";"severe heat waves";"melting ice";"flooding";"water scarcity";"climate refugees"
"346";"63c658437791ac7be49f06e9";"Germany";1;NA;"Male";1;-0,692307692307692;13;"Artensterben";"Moderner Mensch";"Ignoranz";"Hybris";"Dystopie";1;1;1;1;1;"consumption";"species extinction";"environmental protection";"natural disaster";"politics & society";"rethinking";"uncertainty";"meaning of life"
"349";"650a5cc55e8ddf8bae0b81fb";"Germany";3;NA;"Male";2,4;-0,923076923076923;13;"egal";"greta";"übertreibung";"die grünen";"klimakleber";4;3;2;2;1;"the greens (political party)";"climate gluer";"higher electricity prices";"little snow";"warmer temperatures";"higher taxes";"overdramatization";"fewer nuclear power plants"
"350";"6524e0ef44178670528207b7";"Germany";3;NA;"Female";2;-1,07692307692308;13;"Erwärmung";NA;NA;NA;NA;2;NA;NA;NA;NA;"co2";"solar radiation";"greenhouse effect";"heatwaves";"water shortage";"global warming";"geoengineering";"ozone"
"356";"652156df21a8be7bb4c6f4e7";"Germany";1;NA;"Female";2,2;-1,13333333333333;15;"Klimaziel";"CO2";"Treibhausgase";"Ignoranz";"Nachhaltigkeit";2;1;1;1;6;"sustainability";"consequence";"causes";"human";"species extinction";"greenhouse gas";"global warming";"future-oriented action"
"361";"60060089125e50636ad6719e";"Germany";1;NA;"Female";1,33333333333333;-0,684210526315789;19;"Erderwärmung";"Überschwemung";"Dürre";NA;NA;2;1;1;NA;NA;"global warming";"co2 emission";"regional product";"expensive";"politics";"environmental pollution";"plastic waste";"renewable energy "
"363";"65170641ac562bb61fb8e647";"Germany";1;NA;"Male";2,6;-1,36842105263158;19;"Gefahr";"Bedrohung";"Politik";"Aussterben";"Natur";1;2;4;1;5;"global warming";"species extinction";"reduction in standard of living";"global instability";"ocean warming";"feedback loop";"future uninhabitable regions";"displacement of people"
"366";"63eb38339e72d01818aeb71b";"Germany";3;NA;"Male";2;-1,06666666666667;15;"Temperatur";"Ozean";"Atmosphäre";NA;NA;2;1;3;NA;NA;"increased extreme weather";"floods";"drought";"reduction of habitat";"migration";"netherlands washed away";"reflection on sustainability";"innovation"
"368";"6516d3d61888082c45b2e8b4";"Germany";1;NA;"Male";1;-0,230769230769231;13;"Tod";"Sorge";"Hitze";"Globales Problem";"Gefahr";1;1;1;1;1;"renewable energy ";"waste avoidance";"sustainable nutrition";"abstinence from meat";"animal welfare";"danger to humanity";"reason for change";"affects everyone"
"377";"65410ad762a7e3c570b6273c";"Germany";3;NA;"Male";3,4;-0,181818181818182;22;"Erderwärmung";"naturschutz";"klimawandel";"naturkatastrophen";"menschheit";2;6;2;4;3;"negative emotions";"fear";"anger";"sadness";"helplessness";"positive emotions";"hope";"confidence"
"383";"6427068bce4fc1aa335ad025";"Germany";1;NA;"Male";1,6;0,0769230769230769;13;"Erderwärmung";"Naturkatastrophen";"Unwetter";"Folgen";"Flüchtlingswellen";2;1;2;2;1;"global warming";"human-driven";"environmental pollution";"natural change";"periodic natural processes";"influence on nature";"human measures";"politics"
"384";"63b6be975097f6e31872fc0e";"Germany";1;NA;"Male";1,8;-1,64705882352941;17;"Meeresspiegel";"Artensterben";"Regenwald";"Winter";"Landwirtschaft";2;1;1;2;3;"species extinction";"melting ice";"resources";"influence of the individual";"inactive global corporations";"desperation";"thirst for action";"sea level rise"
"390";"647655dfd55c07c30b1537ab";"Germany";3;NA;"Male";2,2;-0,538461538461538;13;"CO2";"Die Grünen";"Agenda";"Wirtschaft";"Einschränkungen";4;2;2;2;1;"co2";"restriction of the economy";"new business areas";"higher prices";"environmental protection";"less emissions";"more livable world";"natural disaster"
"391";"628001fc615d598b23b85c6c";"Germany";1;NA;"Male";1,75;-1,38461538461538;13;"Erderwärmung";"Umweltbelastung";"Klimakrise";"Treibhausgase";NA;2;1;1;3;NA;"rising temperature";"heavy rain";"higher sea level";"hot summers";"drought";"renewable energy ";"public transport";"living vegan"
"396";"6488afe97766c9083ffc3171";"Germany";3;NA;"Male";2;-1,05555555555556;18;"Stürme";"Wasserstand";"Bäume";"Co2";"Zerstörte Häuser";1;1;6;1;1;"greenwashing";"co2 reduction";"false claims";"cover-up";"false promises";"sustainable action";"1.5 degree goal";"fear"
"398";"65033f53e04273a8ae24c2c7";"Germany";3;NA;"Male";3,33333333333333;-2,25;12;"gespaltene Meinung ";"falsche Darstellung in den Medien";"Klimawandel gab es schon immer ";NA;NA;2;2;6;NA;NA;"natural disaster";"many refugees";"politically wanted";"natural";"false information";"co2 tax";"expensive fuel prices";"expensive electricity prices"
"399";"604b169fe4b7991ec08da3a6";"Germany";1;NA;"Male";1;-1;12;"echt";"sorgen";"fluten";"trockenheit";NA;1;1;1;1;NA;"the sea is rising";"more disasters";"fewer animal species";"more refugees";"it's getting warmer";"less food";"islands sinking";"behavioral change"
"402";"65170df8def70fb50be8068e";"Germany";1;NA;"Male";4,6;-0,0833333333333333;12;"klimaschutz";"Erderwärmung";"Dünnen von Ozonschicht";"Erneuerbare Energien";"Recycling";7;1;1;7;7;"renewable energy ";"co2 neutrality";"use of public transport";"reduction of meat consumption";"electric cars";"internal combustion engines";"deforestation";"nitrogen oxide emissions"
"403";"6529483ef2abe408d574860a";"Germany";3;NA;"Male";1,75;0;13;"menschliches Handeln";"İndustrie";"Jahreszeiten wechseln";"Wasserpiegel steigt";NA;3;1;2;1;NA;"planting trees";"solar energy";"driving a car";"renewable energy ";"hydroelectric power";"drought";"benefits";"disadvantages"
"404";"5c258d9a3217420001e6bdf4";"Germany";3;NA;"Male";6;0,461538461538462;13;"Natur";"Lizenz zum Gelddrucken";"Business";"natürlicher Prozess";"Fleischproduktion";6;6;6;7;5;"warmer weather";"more african refugees";"lower heating costs";"increased crime";"higher social spending";"(white) boomers are dying";"higher alcohol budget";"extremely hot summers"
"407";"63cfbea470ab1bba9db30082";"Germany";3;NA;"Male";2,5;-0,714285714285714;14;"Hitze";"Bedroht";"Dringend";"CO2";NA;3;2;3;2;NA;"greenhouse gas";"health risks";"co2 footprint";"renewable energy ";"nature conservation";"global warming";"sustainability";"heatwaves"
"409";"61123681461c3abe26ab1bd3";"Germany";1;NA;"Male";2,4;-0,769230769230769;13;"menschengemacht";"bedrohlich ";"real";"unaufhaltsam ";"unumkehrbar";2;2;4;2;2;"natural disaster";"inventiveness";"habitat is becoming scarcer";"people change behavior";"sustainable consumption";"defeatist behavior";"resource scarcity";"housing shortage"
"413";"5fbe72941cf1d201bc50c1d4";"Germany";1;NA;"Female";2;-1;14;"Bedrohung";"menschengemacht";"CO2";"Industrie";"Aufklärung";1;2;1;1;5;"natural disaster";"human";"industry";"climate protection";"ignorance";"education";"flooding";"forest fire"
"417";"63b87d2c9edd47ad702413a1";"Germany";1;NA;"Male";1,2;-1;14;"Schmelzende Eisberge";"Überflutete Gebiete";"Temperaturanstieg";"Veränderung von Strömungen";"Regenausfälle";1;1;2;1;1;"species extinction";"environmental disasters";"drought";"flood";"storms";"change in flora & fauna";"impoverishment";"social tensions"
"425";"60fd19bb0d1f1d54adccc4fa";"Germany";1;NA;"Female";1,2;-0,666666666666667;12;"Katastrophe";"Gefahr";"Politik";"Konzerne";"Kapital";1;1;2;1;1;"co2 emission";"renewable energy ";"cost issue";"sustainability";"lifestyle adaptation";"rainforest clearing";"species extinction";"adaptation of means of transportation"
"428";"655d07644de589383042fb39";"Germany";1;NA;"Female";2;-0,428571428571429;14;"gefahr";"aktuell";"bedrohlich";"zukunft";NA;1;3;1;3;NA;"sustainability";"global warming";"nutrition";"meat consumption";"vegan/ vegetarian";"co2 emission";"electric car";"recycling"
"429";"6304a2502fbdd7626ed9c2ac";"Germany";1;NA;"Male";1,6;-1,16666666666667;18;"Klimakrise";"Überflutung";"Hitze";"Regen";"heiß";1;1;1;2;3;"extreme weather situations";"heavy rain";"heatwaves";"heat-related deaths";"outdoor pool weather";"crop changes";"native plants die";"opportunities for the exotic"
"434";"64ef6d994d6b1f11074bdfcf";"Germany";1;NA;"Male";5;-1,78571428571429;14;"Menschengemacht";"Energiewende";"Wissenschaft";"Solarenergie";"CO2";4;6;7;7;1;"renewable energy ";"impacts";"accumulation of extreme weather";"human habitat";"animal mortality";"causes";"co2 emissions";"energy generation"
"442";"6532825749ca31d35c5cc482";"Germany";3;NA;"Male";1;0,384615384615385;13;"Naturkatastrophen ";"Erderwärmung";"Wetterextreme";NA;NA;1;1;1;NA;NA;"weather phenomena";"social division";"green energy";"sustainability increases";"investments";"demonstrations";"costs";"crimes"
"444";"6546ae64283c55141ad64787";"Germany";3;NA;"Female";NA;-0,25;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"personal";"personal energy consumption";"factories, large companies";"unemployment";"economic crisis";"extinction of animals";"thirst problem";"irreversible energy consumption"
"445";"65426792dac360c44e4908a7";"Germany";3;NA;"Female";1;-0,846153846153846;13;"Umweltverschmutzung";"Co2";"Plastik";NA;NA;1;1;1;NA;NA;"temperature rise";"sea level rise";"forest fire";"extreme weather events";"technological innovation";"international cooperation";"awareness raising";"renewable energy sources"
"446";"6053d1011605ac6f3164bc99";"Germany";3;NA;"Male";2,8;-0,461538461538462;13;"CO2-Emissionen";"Sustainability";"Paris Agreement";"Unternehmen";"Naturkatastrophen";1;6;5;1;1;"natural disaster";"climate migration";"climate activism";"paris agreement";"climate defeatism";"developing countries harmed.";"green new deal";"green energy"
"447";"645b8b2128bbb68d29778068";"Germany";3;NA;"Female";2;-0,153846153846154;13;"Gesellschaft";"Schädigung";"Erwärmung";NA;NA;2;2;2;NA;NA;"sustainability";"energy";"greenhouse effect";"nutrition";"mobility";"education";"health";"planting trees"
"449";"655a1fdedea00c26288804ba";"Germany";3;NA;"Female";3,4;-0,692307692307692;13;"Erde";"Luft";"Müll ";"Problem";"Lösungen ";6;3;1;1;6;"weather";"money";"trash";"human";"bad weather";"caused by humans";"sorting garbage";"trash in water"
"451";"653adf50c2b4d95715fa0383";"Germany";3;NA;"Male";1,5;-0,357142857142857;14;"tier";"polar bären";NA;NA;NA;2;1;NA;NA;NA;"decline in plant diversity";"decline in animal diversity";"more summer season";"less heating";"life of winter animals";"energy supply";"renewable energy ";"consumption of energy resources"
"455";"65465caa5dcdb76a16d563b3";"Germany";3;NA;"Male";2;-0,0769230769230769;13;"schädlich";NA;NA;NA;NA;2;NA;NA;NA;NA;"crop yields";"extreme weather";"healthy food";"melting glaciers";"tourism";"food shortage";"sea routes";"hunger"
"456";"6458f51ce9dfaceaf66923b7";"Germany";1;NA;"Male";2,4;-2,53846153846154;13;"Sorgen";"Zukunft";"Nord-Süd-Konflikt";"Reich-Arm-Konflikt";"Lösungen?";2;4;1;1;4;"natural disaster";"irreversible";"imbalance";"lack of initiative";"global south";"long-term changes";"lack of solutions";"burden on future generations"
"459";"6521568f62c55df10e59dc9a";"Germany";3;NA;"Male";2;-0,230769230769231;13;"gefährlich";"wichtig";NA;NA;NA;2;2;NA;NA;NA;"cultivation";"energy";"routes";"tourism";"research";"innovation";"flooding";"extreme weather"
"463";"6516d540a78298897619e273";"Germany";1;NA;"Female";1,4;-1;15;"Waldbrand";"Flut";"Inflation";"Überbevölkerung";"Flüchtlinge";1;1;2;1;2;"consequences of climate change";"forest fire";"flood";"environmental disasters";"innovative techniques";"new fuels";"new energy generation";"environmental awareness"
"465";"5d0f89123382180001624f48";"Germany";1;NA;"Female";4,4;-1;14;"Erderwärmung";"CO2";"Energie sparen";"grün";"Wald";2;2;5;6;7;"global warming";"climate protection";"saving co2";"melting polar caps";"sea level rise";"increased co2 emissions";"overconsumption";"energy transition"
